OperandA, OperandB, Result, Exception
          1,          0,          0,0
          0,          1,          0,0
          1,          2,          2,0
          2,         -4,         -8,1
          4,          8,         32,0
         -8,         16,       -128,1
         16,         32,        512,0
         32,        -64,      -2048,1
         64,        128,       8192,0
       -128,        256,     -32768,1
        256,        512,     131072,0
        512,      -1024,    -524288,1
       1024,       2048,    2097152,0
      -2048,       4096,   -8388608,1
       4096,       8192,   33554432,0
       8192,     -16384, -134217728,1
      16384,      32768,  536870912,0
     -32768,      65536,-2147483648,1
      65536,     131072,          0,1
-2147483648,          2,          0,1
 2147483647, 2147483647,          1,1
-2147483647, 2147483647,         -1,1
     -65536,      65536,          0,1
      65536,      65536,          0,1
