Test Number, OperandA, OperandB, Result, Exception, Exp Result, Exp Exception
4,          2,         -4,         -8,1,         -8,0
6,         -8,         16,       -128,1,       -128,0
8,         32,        -64,      -2048,1,      -2048,0
10,       -128,        256,     -32768,1,     -32768,0
12,        512,      -1024,    -524288,1,    -524288,0
14,      -2048,       4096,   -8388608,1,   -8388608,0
16,       8192,     -16384, -134217728,1, -134217728,0
18,     -32768,      65536,-2147483648,1,-2147483648,0
21, 2147483647, 2147483647,          1,1,          0,1
22,-2147483647, 2147483647,         -1,1,          0,1
